CONVERSION FUNNEL ECONOMICS,,,,
,,,,
Per 100 Preview Generations,Cost,Conversions,Revenue,Profit
,,,,
Preview Generation Cost,$9.00,,,
(100 previews × $0.09),,,,
,,,,
Digital Conversions (2%),,2,$30.00,
Cost per digital,$1.26,,,
Total digital cost,$2.52,,,
Digital profit,,,,$27.48
,,,,
Printed Conversions (2%),,2,$90.00,
Cost per printed,$28.63,,,
Total printed cost,$57.26,,,
Printed profit,,,,$32.74
,,,,
TOTAL PER 100 PREVIEWS,,,,
Total Revenue,,,$120.00,
Total Costs,$68.78,,,
- Preview costs,$9.00,,,
- Digital costs,$2.52,,,
- Printed costs,$57.26,,,
,,,,
NET PROFIT,,,,$51.22
Profit Margin,,,,42.7%
Profit per Preview,,,,$0.51
,,,,
BREAK-EVEN ANALYSIS,,,,
Monthly Fixed Costs,$134.00,,,
Previews needed to break even,262,,,
(at 4% conversion rate),,,,
,,,,
Conversions needed,10.5,,,
- Digital books,2.6,,,
- Printed books,7.9,,,
