KIDBOOK CREATOR - EXECUTIVE SUMMARY,,,
,,,
KEY METRICS (Year 1 - Based on Sample Volumes),,,
,,,
Total Preview Generations,"3,075",,
Total Conversions,123,4.0%,
- Digital Books,31,25%,
- Printed Books,92,75%,
,,,
FINANCIAL PERFORMANCE,,,
Total Revenue,"$4,605.00",,
- Digital Revenue,$461.25,10%,
- Printed Revenue,"$4,143.75",90%,
,,,
Total Variable Costs,"$2,703.56",,
Total Fixed Costs,"$1,608.00",,
Total Costs,"$4,311.56",,
,,,
Gross Profit,"$1,901.44",41.3%,
Net Profit,$293.44,6.4%,
,,,
UNIT ECONOMICS,,,
,,,
Per Preview,,,
Cost,$0.09,,
Revenue (after conversion),$1.50,,
Profit,$0.10,,
,,,
Per Digital Book,,,
Revenue,$15.00,,
Cost,$1.26,,
Gross Profit,$13.74,91.6%,
,,,
Per Printed Book,,,
Revenue,$45.00,,
Cost,$28.63,,
Gross Profit,$16.37,36.4%,
,,,
BREAK-EVEN ANALYSIS,,,
Monthly Fixed Costs,$134.00,,
Previews needed per month,262,,
Conversions needed per month,10.5,,
- Digital books,2.6,,
- Printed books,7.9,,
,,,
SETUP COSTS,,,
One-time Setup Investment,$675.00,,
Months to recover setup,2.3,,Based on avg monthly profit
,,,
KEY ASSUMPTIONS,,,
Conversion Rate,4.0%,2% digital + 2% printed,
Digital/Printed Mix,25% / 75%,,
Refund Rate,3.0%,,
Failed Print Rate,1.5%,,
Target Market,100% EU,,
,,,
PRICING STRATEGY,,,
Digital Book,$15.00,92% margin,
Printed Hardcover,$45.00,36% margin,
Blended Margin,,41%,Based on mix
